length,step_h1,step_h2,num_h1,num_h2
7,19,9,1,1
8,20,9.5,2,2
9,20,15,1,1
10,50.5,21.5,2,2
12,123.2,28.2,4,4
13,231.8,69.4,8,8
14,375.6,86.9,10,10
15,554.5,144.2,12,12
16,897.3,171.8,32,32
17,1551.6,318.2,30,30
18,2051.7,314.7,54,54
19,3600.8,432.4,63,63
20,5031,692.4,76,76
21,8284.9,861.3,87,87
22,12639.1,1142,150,150
23,18244.4,1860.1,112,112
24,30426.8,2248.7,132,132
25,42465.4,3325.6,89,89
26,67931.3,4688.8,76,76
27,85125.7,6704.7,38,38
28,128465.6,7312.4,16,16
29,191076.7,13008,3,3
30,230809,11821.5,2,2
